"specRPName","errorExample","errorExampleReasonFromValidation","errorExampleReasonFromMock"
"azuredata","specification/azuredata/resource-manager/Microsoft.AzureData/preview/2019-07-24-preview/examples/ListByResourceGroupSqlServerRegistration.json","","Wrong operaion api version"
"azuredata","specification/azuredata/resource-manager/Microsoft.AzureData/preview/2019-07-24-preview/examples/ListSubscriptionSqlServerRegistration.json","","Wrong operaion api version"
"azuredata","specification/azuredata/resource-manager/Microsoft.AzureData/preview/2019-07-24-preview/examples/GetSqlServer.json","","Wrong operaion api version"
"azuredata","specification/azuredata/resource-manager/Microsoft.AzureData/preview/2019-07-24-preview/examples/CreateOrUpdateSqlServerWithRegistrationGroup.json","","Wrong operaion api version"
"azuredata","specification/azuredata/resource-manager/Microsoft.AzureData/preview/2019-07-24-preview/examples/DeleteSqlServer.json","","Wrong operaion api version"
"azuredata","specification/azuredata/resource-manager/Microsoft.AzureData/preview/2019-07-24-preview/examples/ListByResourceGroupSqlServer.json","","Wrong operaion api version"
"azurestack","specification/azurestack/resource-manager/Microsoft.AzureStack/preview/2020-06-01-preview/examples/RemoteManagement/Post.json","","Operation do not have api version param"
"batch","specification/batch/resource-manager/Microsoft.Batch/stable/2021-06-01/examples/PoolCreate_UserAssignedIdentities.json","","Wrong operaion api version"
"batch","","XMS_EXAMPLE_NOTFOUND_ERROR",""
"billing","specification/billing/resource-manager/Microsoft.Billing/stable/2020-05-01/examples/BillingAccountInvoicesListWithRebillDetails.json","","Example response not match with schema"
"billing","specification/billing/resource-manager/Microsoft.Billing/stable/2020-05-01/examples/InvoicesListByBillingProfileWithRebillDetails.json","","Example response not match with schema"
"billing","specification/billing/resource-manager/Microsoft.Billing/stable/2020-05-01/examples/InvoiceWithRebillDetails.json","","Example response not match with schema"
"billing","specification/billing/resource-manager/Microsoft.Billing/stable/2020-05-01/examples/InvoiceWithRebillDetails.json","INVALID_FORMAT",""
"billing","","XMS_EXAMPLE_NOTFOUND_ERROR",""
"botservice","specification/botservice/resource-manager/Microsoft.BotService/preview/2021-05-01-preview/examples/OperationResultsGet.json","","Example response not match with schema"
"cdn","specification/cdn/resource-manager/Microsoft.Cdn/stable/2021-06-01/examples/LogAnalytics_GetLogAnalyticsMetrics.json","","Example request has invalid type value"
"cdn","specification/cdn/resource-manager/Microsoft.Cdn/stable/2021-06-01/examples/LogAnalytics_GetLogAnalyticsRankings.json","","Example request has invalid type value"
"cdn","specification/cdn/resource-manager/Microsoft.Cdn/stable/2021-06-01/examples/LogAnalytics_GetWafLogAnalyticsMetrics.json","","Example request has invalid type value"
"cdn","specification/cdn/resource-manager/Microsoft.Cdn/stable/2021-06-01/examples/LogAnalytics_GetWafLogAnalyticsRankings.json","","Example request has invalid type value"
"chaos","specification/chaos/resource-manager/Microsoft.Chaos/preview/2021-09-15-preview/examples/CreateOrUpdateACapability.json","","Example request not match with schema"
"chaos","specification/chaos/resource-manager/Microsoft.Chaos/preview/2021-09-15-preview/examples/CreateOrUpdateACapability.json","DISCRIMINATOR_VALUE_NOT_FOUND",""
"chaos","","","XMS_EXAMPLE_NOTFOUND_ERROR"
"commerce","","XMS_EXAMPLE_NOTFOUND_ERROR",""
"communication","","XMS_EXAMPLE_NOTFOUND_ERROR",""
"compute","specification/compute/resource-manager/Microsoft.Compute/stable/2021-11-01/examples/compute/DedicatedHostGroups_Update_MaximumSet_Gen.json","","Example request not match with schema"
"compute","specification/compute/resource-manager/Microsoft.Compute/stable/2021-11-01/examples/compute/DedicatedHosts_Update_MaximumSet_Gen.json","","Example request not match with schema"
"compute","specification/compute/resource-manager/Microsoft.Compute/stable/2021-11-01/examples/compute/DedicatedHostRestart.json","","LRO response not contains 200 response"
"compute","specification/compute/resource-manager/Microsoft.Compute/stable/2021-11-01/examples/compute/CreateOrUpdateAVmWithVMSizeProperties.json","","Wrong operaion api version"
"compute","specification/compute/resource-manager/Microsoft.Compute/stable/2021-11-01/examples/compute/ForceDeleteVirtualMachine.json","","Example request not match with schema"
"compute","specification/compute/resource-manager/Microsoft.Compute/stable/2021-11-01/examples/compute/ForceDeleteVirtualMachineScaleSets.json","","Example request not match with schema"
"compute","specification/compute/resource-manager/Microsoft.Compute/stable/2021-11-01/examples/compute/CapacityReservationGroups_Update_MaximumSet_Gen.json","","Example request not match with schema"
"compute","specification/compute/resource-manager/Microsoft.Compute/stable/2021-11-01/examples/compute/CapacityReservations_Update_MaximumSet_Gen.json","","Example request not match with schema"
"compute","specification/compute/resource-manager/Microsoft.Compute/stable/2021-11-01/examples/compute/VirtualMachineScaleSetVMs_Update_MaximumSet_Gen.json","","Example request not match with schema"
"compute","specification/compute/resource-manager/Microsoft.Compute/stable/2021-11-01/examples/compute/ForceDeleteVirtualMachineScaleSetVM.json","","Example request not match with schema"
"compute","specification/compute/resource-manager/Microsoft.Compute/stable/2021-11-01/examples/compute/LogAnalyticsRequestRateByInterval.json","","LRO operation has no cooresponding get operation"
"compute","specification/compute/resource-manager/Microsoft.Compute/stable/2021-11-01/examples/compute/LogAnalyticsThrottledRequests.json","","LRO operation has no cooresponding get operation"
"compute","specification/compute/resource-manager/Microsoft.Compute/stable/2021-07-01/examples/skus/ListAvailableResourceSkusWithExtendedLocations.json","","Wrong operaion api version"
"compute","specification/compute/resource-manager/Microsoft.Compute/stable/2021-07-01/examples/gallery/GetAGalleryImageVersionWithSnapshotsAsSource.json","","Example response not match with schema"
"compute","specification/compute/resource-manager/Microsoft.Compute/stable/2021-03-01/examples/UpdateCloudServiceUpdateDomain.json","","Example request not match with schema"
"compute","specification/compute/resource-manager/Microsoft.Compute/stable/2021-03-01/examples/GetCloudServiceUpdateDomain.json","","Example request not match with schema"
"compute","","XMS_EXAMPLE_NOTFOUND_ERROR",""
"consumption","specification/consumption/resource-manager/Microsoft.Consumption/stable/2021-10-01/examples/UsageDetailsListByBillingAccount.json","","Wrong operaion api version"
"consumption","specification/consumption/resource-manager/Microsoft.Consumption/stable/2021-10-01/examples/BudgetsList.json","","Example response not match with schema"
"consumption","","XMS_EXAMPLE_NOTFOUND_ERROR",""
"containerinstance","","","XMS_EXAMPLE_NOTFOUND_ERROR"
"containerregistry","specification/containerregistry/resource-manager/Microsoft.ContainerRegistry/preview/2019-06-01-preview/examples/RegistriesScheduleRun.json","","LRO operation has no cooresponding get operation"
"containerservice","specification/containerservice/resource-manager/Microsoft.ContainerService/preview/2021-11-01-preview/examples/Operation_List.json","","Wrong operaion api version"
"containerservice","specification/containerservice/resource-manager/Microsoft.ContainerService/preview/2021-11-01-preview/examples/ManagedClustersGetAccessProfile.json","","Example response not match with schema"
"containerservice","specification/containerservice/resource-manager/Microsoft.ContainerService/preview/2021-11-01-preview/examples/ManagedClustersListClusterCredentialResult.json","","Example response not match with schema"
"containerservice","specification/containerservice/resource-manager/Microsoft.ContainerService/preview/2021-11-01-preview/examples/ManagedClustersListClusterCredentialResult.json","","Example response not match with schema"
"containerservice","specification/containerservice/resource-manager/Microsoft.ContainerService/preview/2021-11-01-preview/examples/ManagedClustersListClusterCredentialResult.json","","Example response not match with schema"
"containerservice","specification/containerservice/resource-manager/Microsoft.ContainerService/preview/2021-11-01-preview/examples/PrivateEndpointConnectionsDelete.json","","LRO response not contains 200 response"
"cosmos-db","specification/cosmos-db/resource-manager/Microsoft.DocumentDB/stable/2021-10-15/examples/CosmosDBDatabaseAccountOfflineRegion.json","","Example request miss required property"
"cosmos-db","specification/cosmos-db/resource-manager/Microsoft.DocumentDB/stable/2021-10-15/examples/CosmosDBDatabaseAccountOnlineRegion.json","","Example request miss required property"
"cosmos-db","specification/cosmos-db/resource-manager/Microsoft.DocumentDB/stable/2021-10-15/examples/CosmosDBManagedCassandraClusterDeallocate.json","","Wrong operaion api version"
"cost-management","specification/cost-management/resource-manager/Microsoft.CostManagement/stable/2021-10-01/examples/GenerateDetailedCostReportByBillingAccountLegacyAndBillingPeriod.json","","LRO operation has no cooresponding get operation"
"cost-management","specification/cost-management/resource-manager/Microsoft.CostManagement/stable/2021-10-01/examples/GenerateDetailedCostReportOperationStatusBySubscriptionScope.json","","Example response not match with schema"
"cost-management","specification/cost-management/resource-manager/Microsoft.CostManagement/stable/2021-10-01/examples/BillingAccountAlerts.json","","Wrong operaion api version"
"cost-management","specification/cost-management/resource-manager/Microsoft.CostManagement/stable/2021-10-01/examples/SingleResourceGroupAlert.json","","Wrong operaion api version"
"cost-management","specification/cost-management/resource-manager/Microsoft.CostManagement/stable/2021-10-01/examples/DismissResourceGroupAlerts.json","","Wrong operaion api version"
"cost-management","specification/cost-management/resource-manager/Microsoft.CostManagement/stable/2021-10-01/examples/ExternalBillingAccountAlerts.json","","Wrong operaion api version"
"cost-management","specification/cost-management/resource-manager/Microsoft.CostManagement/stable/2021-10-01/examples/BillingAccountDimensionsListExpandAndTop.json","","Wrong operaion api version"
"cost-management","","","XMS_EXAMPLE_NOTFOUND_ERROR"
"customer-insights","specification/customer-insights/resource-manager/Microsoft.CustomerInsights/stable/2017-04-26/examples/DCIOperations_List.json","","Wrong operaion api version"
"customer-insights","specification/customer-insights/resource-manager/Microsoft.CustomerInsights/stable/2017-04-26/examples/HubsCreateOrUpdate.json","","Wrong operaion api version"
"customer-insights","specification/customer-insights/resource-manager/Microsoft.CustomerInsights/stable/2017-04-26/examples/HubsUpdate.json","","Wrong operaion api version"
"customer-insights","specification/customer-insights/resource-manager/Microsoft.CustomerInsights/stable/2017-04-26/examples/HubsDelete.json","","Wrong operaion api version"
"customer-insights","specification/customer-insights/resource-manager/Microsoft.CustomerInsights/stable/2017-04-26/examples/HubsGet.json","","Wrong operaion api version"
"customer-insights","specification/customer-insights/resource-manager/Microsoft.CustomerInsights/stable/2017-04-26/examples/HubsListByResourceGroup.json","","Wrong operaion api version"
"customer-insights","specification/customer-insights/resource-manager/Microsoft.CustomerInsights/stable/2017-04-26/examples/HubsList.json","","Wrong operaion api version"
